device build rows dataset relpages workers wm eic ioc readahead matches distinct run caching optimal timing
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 16 16 8192 6048 10000 1 uncached seqscan 218.230
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 16 16 8192 8048 10000 1 uncached seqscan 220.089
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 16 16 8192 10048 10000 1 uncached seqscan 230.927
raid-sata master 1000000 uniform 41667 0 4096 16 1 8192 2 10000 1 uncached bitmapscan 4.513
raid-sata master 1000000 uniform 41667 0 4096 16 1 8192 4 10000 1 uncached bitmapscan 7.858
raid-sata master 1000000 uniform 41667 0 4096 16 1 8192 8 10000 1 uncached bitmapscan 13.599
raid-sata master 1000000 uniform 41667 0 4096 16 1 8192 16 10000 1 uncached bitmapscan 24.173
raid-sata master 1000000 uniform 41667 0 4096 16 1 8192 32 10000 1 uncached bitmapscan 43.940
raid-sata master 1000000 uniform 41667 0 4096 16 1 8192 64 10000 1 uncached bitmapscan 84.202
raid-sata master 1000000 uniform 41667 0 4096 16 1 8192 128 10000 1 uncached bitmapscan 187.293
raid-sata master 1000000 uniform 41667 0 4096 16 1 8192 256 10000 1 uncached bitmapscan 366.124
raid-sata master 1000000 uniform 41667 0 4096 16 1 8192 512 10000 1 uncached bitmapscan 600.719
raid-sata master 1000000 uniform 41667 0 4096 16 1 8192 1024 10000 1 uncached bitmapscan 777.321
raid-sata master 1000000 uniform 41667 0 4096 16 1 8192 2048 10000 1 uncached bitmapscan 822.091
raid-sata master 1000000 uniform 41667 0 4096 16 1 8192 4048 10000 1 uncached bitmapscan 849.319
raid-sata master 1000000 uniform 41667 0 4096 16 1 8192 6048 10000 1 uncached seqscan 845.209
raid-sata master 1000000 uniform 41667 0 4096 16 1 8192 8048 10000 1 uncached seqscan 838.101
raid-sata master 1000000 uniform 41667 0 4096 16 1 8192 10048 10000 1 uncached seqscan 883.703
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 16 1 8192 2 10000 1 uncached bitmapscan 5.102
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 16 1 8192 4 10000 1 uncached bitmapscan 5.986
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 16 1 8192 8 10000 1 uncached bitmapscan 11.498
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 16 1 8192 16 10000 1 uncached bitmapscan 21.294
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 16 1 8192 32 10000 1 uncached bitmapscan 43.537
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 16 1 8192 64 10000 1 uncached bitmapscan 90.022
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 16 1 8192 128 10000 1 uncached bitmapscan 191.952
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 16 1 8192 256 10000 1 uncached bitmapscan 366.397
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 16 1 8192 512 10000 1 uncached bitmapscan 580.636
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 16 1 8192 1024 10000 1 uncached bitmapscan 759.585
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 16 1 8192 2048 10000 1 uncached bitmapscan 215.403
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 16 1 8192 4048 10000 1 uncached bitmapscan 214.902
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 16 1 8192 6048 10000 1 uncached seqscan 225.696
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 16 1 8192 8048 10000 1 uncached seqscan 243.484
raid-sata patched-no-sequential 1000000 uniform 41667 0 4096 16 1 8192 10048 10000 1 uncached seqscan 228.293
raid-sata master 1000000 uniform 41667 0 4096 16 32 8192 2 10000 1 uncached bitmapscan 4.430
raid-sata master 1000000 uniform 41667 0 4096 16 32 8192 4 10000 1 uncached bitmapscan 8.561
raid-sata master 1000000 uniform 41667 0 4096 16 32 8192 8 10000 1 uncached bitmapscan 12.415
raid-sata master 1000000 uniform 41667 0 4096 16 32 8192 16 10000 1 uncached bitmapscan 23.133
raid-sata master 1000000 uniform 41667 0 4096 16 32 8192 32 10000 1 uncached bitmapscan 41.954
raid-sata master 1000000 uniform 41667 0 4096 16 32 8192 64 10000 1 uncached bitmapscan 90.705
raid-sata master 1000000 uniform 41667 0 4096 16 32 8192 128 10000 1 uncached bitmapscan 190.226
raid-sata master 1000000 uniform 41667 0 4096 16 32 8192 256 10000 1 uncached bitmapscan 364.790
raid-sata master 1000000 uniform 41667 0 4096 16 32 8192 512 10000 1 uncached bitmapscan 587.347
raid-sata master 1000000 uniform 41667 0 4096 16 32 8192 1024 10000 1 uncached bitmapscan 760.802
raid-sata master 1000000 uniform 41667 0 4096 16 32 8192 2048 10000 1 uncached bitmapscan 870.123
raid-sata master 1000000 uniform 41667 0 4096 16 32 8192 4048 10000 1 uncached bitmapscan 851.522
raid-sata master 1000000 uniform 41667 0 4096 16 32 8192 6048 10000 1 uncached seqscan 832.701
