  device   |  rows   |   dataset   | relpages | workers |  wm   | eic | nmatches | ndistinct |  caching  |  optimal   | cnt_master |    timing_master     | cnt_p1 |      timing_p1       | cnt_p2 |      timing_p2       | cnt_p3 |      timing_p3       | cnt_p4 |      timing_p4       
 raid-nvme | 1000000 | cyclic-fuzz |    41667 |       4 | 65536 |   1 |       92 |       100 | uncached  | seqscan    |          3 |   123.46266666666668 |      3 |              123.421 |      3 |   120.15466666666664 |      3 |   237.02433333333337 |      3 |   249.50433333333334
 raid-nvme | 1000000 | uniform     |    41667 |       4 |   128 |   1 |    10048 |     10000 | uncached  | seqscan    |          3 |              114.669 |      3 |   110.38366666666667 |      3 |   108.49533333333333 |      3 |   227.84633333333332 |      3 |   215.84800000000004
 raid-nvme | 1000000 | cyclic-fuzz |    41667 |       4 |   128 |   1 |      112 |       100 | uncached  | seqscan    |          3 |   115.46066666666667 |      3 |   103.71900000000001 |      3 |   118.25633333333333 |      3 |   228.59133333333332 |      3 |   242.17399999999998
 raid-nvme | 1000000 | linear-fuzz |    41667 |       4 |  4096 |   1 |    10048 |     10000 | uncached  | seqscan    |          3 |   124.19299999999998 |      3 |   119.09233333333333 |      3 |   117.84366666666666 |      3 |    235.5476666666667 |      3 |   242.35066666666668
 data      | 1000000 | cyclic-fuzz |    41667 |       4 |  4096 |   1 |       72 |       100 | uncached  | seqscan    |          3 |              409.757 |      3 |   437.68533333333335 |      3 |              439.565 |      3 |              519.135 |      3 |    522.4806666666667
 raid-nvme | 1000000 | uniform     |    41667 |       4 |   128 |   1 |     1024 |     10000 | uncached  | seqscan    |          3 |   109.09866666666666 |      3 |   108.93933333333332 |      3 |   119.50533333333333 |      3 |   218.42333333333332 |      3 |    234.3836666666667
 raid-nvme | 1000000 | uniform     |    41667 |       4 |  4096 |   1 |     6048 |     10000 | uncached  | seqscan    |          3 |   117.17166666666667 |      3 |   116.92533333333334 |      3 |   112.94833333333334 |      3 |   226.48933333333332 |      3 |   240.99699999999999
 raid-nvme | 1000000 | linear-fuzz |    41667 |       4 |  4096 |   1 |     8048 |     10000 | uncached  | seqscan    |          3 |   105.76466666666666 |      3 |   108.85466666666666 |      3 |   102.54033333333332 |      3 |   213.19833333333335 |      3 |   219.25300000000001
 raid-nvme | 1000000 | uniform     |    41667 |       4 |   128 |   1 |     4048 |     10000 | uncached  | seqscan    |          3 |    98.71366666666665 |      3 |   102.65666666666668 |      3 |   102.39866666666667 |      3 |   202.66033333333334 |      3 |   230.82433333333333
 raid-nvme | 1000000 | linear-fuzz |    41667 |       4 |   128 |   1 |     8048 |     10000 | uncached  | seqscan    |          3 |   102.58533333333334 |      3 |              101.733 |      3 |               97.866 |      3 |   205.08399999999997 |      3 |   202.24099999999999
